HPV_position,15361-CB-10-LabPrep_S11,15361-CB-11-LabPrep_S12,15361-CB-12-LabPrep_S13,15361-CB-13-LabPrep_S14,15361-CB-14-LabPrep_S15,15361-CB-15-LabPrep_S16,15361-CB-16-LabPrep_S17,15361-CB-17-LabPrep_S18,15361-CB-18-LabPrep_S19,15361-CB-19-LabPrep_S20,15361-CB-1-LabPrep_S10,15361-CB-20-LabPrep_S22,15361-CB-21-LabPrep_S23,15361-CB-23-LabPrep_S25,15361-CB-24-LabPrep_S26,15361-CB-26-LabPrep_S28,15361-CB-2-LabPrep_S21,15361-CB-30-LabPrep_S33,15361-CB-32-LabPrep_S34,15361-CB-34-LabPrep_S36,15361-CB-35-LabPrep_S37,15361-CB-38-LabPrep_S40,15361-CB-39-LabPrep_S41,15361-CB-3-LabPrep_S32,15361-CB-40-LabPrep_S43,15361-CB-42-LabPrep_S44,15361-CB-44-LabPrep_S46,15361-CB-4-LabPrep_S42,15361-CB-6-LabPrep_S48,15361-CB-7-LabPrep_S49,15361-CB-9-LabPrep_S51
1,550,278,415,355,391,188,244,419,339,58,229,169,3,551,121,12,546,2,213,1,149,103,338,390,0,279,272,19,108,343,184
2,971,543,761,653,712,371,461,750,634,116,454,320,12,1038,231,26,982,2,401,1,277,200,639,726,0,547,518,47,212,654,354
3,1320,670,1025,860,956,454,577,1016,852,134,572,392,15,1332,267,30,1364,2,508,1,311,228,813,947,0,701,645,52,257,874,432
4,1538,729,1176,984,1104,492,638,1154,983,139,641,434,17,1460,284,31,1604,2,563,1,328,243,907,1072,0,774,714,54,271,987,475
5,1769,821,1380,1161,1301,551,711,1337,1153,139,749,505,17,1624,313,33,1875,3,657,1,355,268,1055,1226,0,883,834,58,299,1145,546
6,1969,891,1534,1283,1458,587,788,1471,1284,148,824,554,17,1762,330,34,2109,3,716,1,371,285,1143,1354,0,962,912,62,315,1281,597
7,2146,921,1659,1387,1569,605,831,1571,1362,151,868,587,17,1836,348,35,2289,3,761,1,386,295,1220,1450,0,1016,965,65,326,1353,625
8,2340,989,1822,1510,1721,636,877,1705,1488,158,931,637,18,1916,353,36,2524,3,807,1,397,308,1310,1558,0,1083,1035,65,340,1456,662
9,2521,1046,1964,1629,1859,673,921,1837,1590,165,997,670,20,2012,374,37,2749,3,854,1,411,320,1387,1675,0,1141,1101,67,353,1563,707
10,2797,1147,2181,1825,2083,756,1014,2052,1787,182,1117,759,21,2198,421,39,3040,3,950,1,448,360,1538,1865,0,1271,1232,71,382,1758,787
11,3053,1243,2399,2007,2275,820,1102,2255,1959,191,1209,836,22,2350,450,41,3322,4,1066,1,494,390,1670,2048,0,1385,1342,76,409,1923,862
12,3254,1301,2550,2128,2421,857,1159,2382,2093,196,1264,883,23,2444,470,45,3549,4,1108,1,517,401,1760,2164,0,1470,1418,78,425,2022,899
13,3465,1375,2727,2279,2588,906,1235,2532,2250,202,1343,941,23,2579,497,45,3773,4,1175,1,539,415,1853,2319,0,1562,1512,84,444,2166,948
14,3724,1488,2957,2466,2806,1008,1348,2746,2436,227,1468,1028,25,2762,543,52,4052,4,1290,1,589,454,2009,2502,0,1718,1633,93,474,2355,1031
15,3947,1545,3111,2600,2947,1048,1416,2873,2553,242,1550,1080,25,2880,564,56,4260,4,1365,1,597,466,2116,2639,0,1787,1706,96,489,2469,1073
16,4162,1639,3285,2753,3116,1108,1494,3032,2707,248,1647,1149,26,3036,589,57,4494,4,1445,1,619,484,2231,2796,0,1880,1791,102,516,2608,1147
17,4394,1711,3460,2911,3295,1151,1540,3206,2856,256,1718,1209,28,3147,604,58,4749,4,1502,1,643,498,2324,2943,0,1983,1864,103,531,2735,1217
18,4605,1780,3643,3049,3478,1196,1598,3369,3012,265,1804,1266,29,3299,633,60,4995,5,1593,1,673,526,2447,3054,0,2060,1961,108,552,2863,1276
19,4814,1829,3802,3171,3616,1233,1671,3522,3130,271,1848,1318,33,3407,654,60,5236,5,1653,1,692,542,2526,3199,0,2135,2028,109,566,2986,1323
20,4972,1871,3891,3264,3715,1264,1713,3605,3211,274,1906,1359,33,3446,667,60,5400,5,1691,1,704,552,2574,3288,0,2181,2074,110,575,3053,1358
21,5250,1963,4097,3443,3942,1337,1802,3799,3414,294,2012,1457,33,3612,700,64,5685,5,1802,1,735,578,2708,3448,0,2297,2203,114,610,3236,1436
22,5513,2057,4319,3625,4147,1414,1881,3999,3577,302,2110,1547,35,3781,727,69,5991,5,1904,1,759,596,2834,3633,0,2393,2307,117,636,3407,1502
23,5799,2175,4542,3821,4370,1488,1976,4212,3776,320,2244,1639,36,3985,756,71,6290,7,2022,1,794,633,2980,3818,0,2531,2443,122,674,3602,1586
24,6037,2271,4752,4003,4567,1537,2044,4404,3938,335,2340,1701,37,4087,784,76,6568,7,2116,1,819,656,3111,3993,0,2626,2542,126,697,3747,1653
25,6255,2364,4930,4155,4747,1585,2122,4560,4101,345,2433,1772,38,4231,807,80,6801,8,2179,1,848,681,3247,4158,0,2727,2650,130,717,3892,1720
26,6481,2431,5104,4275,4908,1630,2183,4693,4230,351,2515,1824,38,4331,822,81,7050,8,2241,1,859,692,3317,4294,0,2794,2715,133,729,4007,1760
27,6707,2487,5259,4413,5060,1668,2239,4826,4365,358,2569,1869,38,4422,837,83,7287,8,2293,1,877,704,3407,4432,0,2866,2805,135,746,4127,1799
28,6942,2590,5485,4574,5245,1742,2320,5008,4538,368,2668,1933,41,4626,873,85,7561,8,2393,1,919,732,3527,4589,0,2982,2924,137,777,4279,1871
29,7177,2654,5670,4719,5425,1802,2387,5169,4700,380,2756,1997,43,4766,902,85,7830,8,2474,1,950,754,3627,4751,0,3075,3017,139,790,4410,1937
30,7431,2746,5886,4897,5639,1852,2468,5366,4863,392,2847,2065,44,4913,926,87,8111,8,2582,1,975,779,3754,4939,0,3190,3119,142,819,4578,2011
31,7614,2795,6007,4986,5770,1905,2510,5492,4942,399,2910,2139,43,4994,947,86,8296,7,2639,1,990,780,3817,5052,0,3272,3171,142,824,4670,2056
32,7828,2873,6166,5117,5909,1956,2571,5626,5089,409,2981,2186,45,5118,958,92,8557,8,2697,1,1010,799,3905,5164,0,3343,3243,145,844,4792,2113
33,8049,2948,6364,5284,6089,2007,2631,5805,5239,419,3065,2250,45,5250,990,96,8824,8,2784,1,1047,815,3997,5349,0,3440,3331,150,863,4949,2184
34,8347,3067,6625,5509,6361,2085,2742,6033,5485,439,3216,2345,51,5416,1023,98,9141,8,2919,1,1077,852,4161,5543,0,3570,3478,150,904,5135,2281
35,8627,3183,6833,5717,6559,2146,2832,6233,5680,451,3339,2440,57,5577,1046,101,9427,8,3018,1,1104,883,4287,5707,0,3679,3588,155,925,5307,2381
36,8852,3285,7018,5895,6749,2202,2938,6406,5860,457,3447,2528,63,5699,1073,103,9686,9,3122,1,1139,913,4411,5876,0,3788,3694,156,959,5457,2449
37,9087,3363,7203,6048,6916,2243,2995,6567,6003,464,3533,2593,64,5811,1095,105,9959,9,3190,1,1157,922,4485,6030,0,3862,3783,159,984,5598,2514
38,9327,3461,7422,6204,7114,2302,3069,6733,6167,469,3637,2672,65,5944,1120,105,10233,9,3280,1,1177,940,4612,6188,0,3971,3883,161,1006,5747,2578
39,9466,3487,7546,6291,7218,2325,3099,6822,6246,472,3676,2701,66,5988,1124,105,10394,9,3323,1,1194,949,4672,6259,0,4012,3926,161,1010,5818,2619
40,9746,3585,7767,6487,7443,2389,3182,7013,6431,480,3780,2780,67,6149,1154,109,10694,9,3421,1,1234,967,4806,6441,0,4119,4041,164,1038,5980,2706
41,9973,3658,7963,6653,7641,2446,3253,7209,6598,489,3894,2862,69,6288,1181,111,10945,9,3516,1,1260,998,4946,6619,0,4207,4145,169,1063,6146,2772
42,10213,3734,8172,6812,7840,2506,3338,7383,6758,496,3977,2933,71,6416,1203,114,11198,9,3601,1,1294,1019,5065,6796,0,4304,4243,171,1085,6280,2842
43,10489,3837,8392,7009,8059,2581,3434,7588,6926,507,4063,3039,72,6541,1240,115,11470,9,3705,1,1326,1048,5205,6959,0,4443,4341,174,1107,6437,2931
44,10670,3905,8562,7116,8218,2631,3487,7721,7068,512,4144,3095,73,6635,1268,116,11704,9,3775,1,1344,1064,5287,7094,0,4514,4416,177,1129,6539,2976
45,10920,3969,8760,7279,8395,2680,3561,7900,7238,526,4224,3169,73,6753,1287,117,11982,10,3859,1,1373,1086,5413,7254,0,4606,4536,179,1146,6682,3037
46,11143,4042,8914,7441,8560,2731,3608,8065,7397,531,4319,3234,75,6844,1316,117,12231,10,3925,1,1396,1104,5531,7410,0,4700,4628,183,1163,6822,3090
47,11365,4103,9091,7571,8742,2777,3666,8200,7534,536,4384,3293,76,6941,1335,117,12472,10,3997,1,1409,1120,5627,7533,0,4787,4711,184,1186,6941,3144
48,11622,4212,9302,7765,8953,2834,3770,8388,7707,546,4481,3369,76,7106,1371,118,12740,10,4106,1,1431,1147,5754,7753,0,4898,4830,185,1224,7114,3221
49,11824,4306,9469,7892,9133,2895,3844,8584,7853,555,4553,3450,76,7230,1403,118,12938,10,4162,1,1450,1174,5860,7882,0,4998,4921,187,1242,7245,3289
50,12110,4410,9700,8100,9348,2974,3947,8791,8039,567,4670,3514,76,7404,1431,121,13243,10,4261,2,1488,1201,6009,8101,0,5132,5038,189,1254,7415,3361
51,12358,4508,9917,8262,9562,3036,4038,8980,8188,578,4799,3599,79,7541,1462,123,13494,10,4366,2,1515,1221,6144,8287,0,5228,5156,199,1278,7587,3442
52,12622,4580,10131,8431,9743,3085,4126,9188,8348,589,4887,3665,81,7635,1500,124,13761,12,4464,2,1533,1234,6233,8446,0,5331,5257,202,1302,7727,3529
53,12899,4674,10346,8615,9965,3161,4224,9379,8535,603,4992,3749,81,7790,1532,127,14045,12,4548,2,1559,1268,6374,8646,0,5453,5369,203,1328,7903,3596
54,13073,4718,10470,8701,10054,3184,4275,9486,8633,604,5043,3779,83,7854,1546,128,14220,12,4595,2,1565,1278,6423,8736,0,5509,5412,209,1339,7978,3640
55,13349,4840,10715,8915,10307,3252,4373,9724,8843,616,5165,3864,84,8013,1581,130,14524,12,4697,2,1595,1302,6580,8943,0,5630,5549,212,1363,8177,3700
56,13592,4933,10914,9081,10498,3315,4442,9918,9005,626,5256,3948,85,8144,1606,135,14804,12,4793,2,1626,1324,6715,9110,0,5730,5649,213,1380,8339,3772
57,13794,4979,11082,9197,10667,3357,4499,10042,9136,632,5321,3996,85,8250,1630,139,15024,13,4870,2,1645,1341,6799,9240,0,5811,5732,217,1393,8452,3838
58,14096,5087,11322,9400,10928,3430,4594,10285,9360,652,5428,4088,86,8405,1662,140,15339,13,4963,2,1687,1369,6954,9474,0,5929,5866,225,1413,8635,3936
59,14331,5141,11504,9529,11088,3485,4642,10423,9496,660,5490,4137,86,8470,1685,140,15593,13,5027,2,1704,1386,7047,9626,0,5995,5937,229,1426,8754,3992
60,14598,5242,11711,9704,11277,3551,4718,10606,9665,674,5584,4209,87,8600,1720,141,15872,13,5115,2,1741,1409,7168,9826,0,6095,6038,231,1442,8910,4066
61,14782,5343,11870,9834,11439,3611,4796,10776,9808,678,5688,4280,88,8738,1750,144,16099,13,5206,3,1770,1439,7273,9971,0,6190,6140,231,1464,9022,4136
62,15039,5442,12105,10020,11663,3680,4878,10994,10000,692,5793,4368,89,8866,1779,144,16362,13,5297,3,1795,1466,7423,10172,0,6317,6248,235,1486,9200,4206
63,15330,5543,12337,10220,11896,3750,4970,11201,10186,704,5901,4459,90,9014,1809,146,16656,13,5394,3,1829,1481,7555,10365,0,6422,6383,236,1509,9358,4287
64,15601,5623,12567,10424,12140,3816,5067,11415,10381,716,6021,4535,90,9161,1842,148,16942,13,5491,3,1863,1516,7692,10548,0,6535,6497,237,1526,9557,4360
65,15780,5661,12700,10538,12249,3845,5119,11521,10495,720,6079,4585,91,9215,1856,149,17133,13,5543,3,1873,1526,7764,10663,0,6585,6545,241,1531,9670,4404
66,16041,5749,12920,10681,12463,3915,5198,11705,10686,736,6165,4661,91,9312,1876,151,17405,13,5619,3,1898,1553,7899,10817,0,6678,6648,245,1551,9799,4455
67,16324,5852,13138,10865,12660,3975,5268,11877,10847,745,6260,4730,91,9423,1902,153,17689,13,5707,3,1936,1572,8017,11009,0,6768,6742,247,1567,9964,4529
68,16539,5911,13311,10987,12817,4009,5316,12015,10954,756,6313,4784,92,9503,1922,155,17888,13,5766,3,1954,1580,8099,11138,0,6832,6819,252,1582,10087,4584
69,16768,5982,13493,11147,13019,4049,5398,12166,11133,766,6401,4866,92,9597,1947,158,18131,13,5845,3,1977,1604,8196,11268,0,6909,6891,252,1600,10223,4635
70,17067,6103,13754,11350,13254,4143,5516,12403,11333,782,6541,4968,94,9770,1990,162,18454,13,5955,3,2025,1642,8368,11490,0,7066,7021,255,1630,10414,4719
71,17325,6173,13957,11519,13444,4198,5581,12586,11496,788,6622,5056,94,9873,2006,164,18715,13,6040,3,2048,1667,8474,11674,0,7178,7122,256,1640,10551,4776
72,17593,6257,14185,11692,13654,4258,5674,12791,11688,800,6715,5118,94,10016,2045,165,18980,13,6129,3,2075,1696,8618,11864,0,7297,7231,261,1663,10710,4836
73,17835,6338,14372,11867,13835,4320,5752,12959,11851,803,6807,5185,94,10129,2082,168,19236,13,6211,3,2104,1719,8721,12030,0,7385,7317,262,1679,10836,4908
74,18039,6398,14553,11998,14003,4364,5812,13098,11986,807,6873,5253,97,10210,2102,170,19452,13,6260,3,2129,1739,8810,12160,0,7464,7400,266,1687,10952,4946
75,18263,6463,14739,12165,14179,4418,5882,13259,12142,811,6974,5309,98,10303,2116,172,19691,13,6335,3,2156,1760,8939,12325,0,7550,7482,272,1704,11086,5006
76,18486,6531,14899,12314,14359,4481,5957,13426,12290,827,7057,5354,99,10390,2145,174,19911,13,6397,3,2170,1775,9049,12456,0,7637,7583,272,1722,11216,5050
77,18694,6598,15072,12458,14519,4514,6011,13595,12437,843,7147,5412,99,10481,2167,177,20158,13,6469,3,2187,1793,9130,12609,0,7716,7667,277,1737,11346,5112
78,18949,6672,15273,12620,14696,4558,6085,13764,12594,854,7227,5461,98,10576,2190,177,20402,13,6542,3,2218,1807,9226,12787,0,7800,7777,281,1753,11467,5157
79,19221,6761,15500,12809,14903,4623,6155,13996,12770,861,7326,5539,101,10694,2211,176,20706,13,6639,3,2242,1835,9366,13000,0,7926,7892,287,1773,11651,5225
80,19497,6854,15752,13020,15138,4720,6252,14214,12975,867,7438,5634,102,10850,2245,176,21010,13,6756,3,2281,1855,9513,13212,0,8057,8015,292,1808,11846,5312
81,19710,6908,15951,13156,15306,4765,6315,14355,13115,878,7502,5689,102,10943,2268,177,21228,13,6828,3,2299,1871,9622,13320,0,8131,8107,294,1818,11963,5363
82,19960,6982,16189,13335,15519,4816,6381,14559,13292,887,7600,5752,102,11048,2290,180,21490,13,6899,3,2327,1895,9745,13491,0,8240,8220,299,1834,12132,5419
83,20240,7093,16455,13557,15788,4916,6499,14819,13501,903,7749,5851,103,11217,2333,183,21797,13,7032,3,2375,1941,9932,13725,0,8392,8376,305,1878,12355,5509
84,20541,7169,16683,13747,16016,4970,6586,15022,13683,911,7844,5927,104,11332,2364,186,22098,13,7109,3,2390,1967,10052,13933,0,8508,8502,307,1899,12523,5591
85,20849,7264,16930,13945,16267,5055,6671,15234,13883,926,7962,6027,105,11478,2397,188,22425,13,7214,3,2419,1987,10180,14121,0,8623,8610,310,1927,12680,5675
86,21112,7338,17166,14126,16493,5112,6740,15433,14069,936,8062,6107,108,11603,2418,189,22710,14,7305,3,2449,2020,10305,14299,0,8722,8717,314,1948,12844,5741
87,21473,7488,17451,14395,16795,5225,6889,15697,14323,950,8228,6230,109,11855,2463,195,23033,15,7463,3,2500,2054,10501,14538,0,8895,8855,320,1994,13090,5868
88,21678,7524,17602,14521,16934,5256,6946,15798,14420,950,8284,6281,110,11922,2476,196,23243,15,7516,3,2512,2070,10564,14669,0,8963,8924,320,2006,13206,5921
89,21941,7613,17824,14707,17155,5322,7032,16005,14623,969,8398,6371,110,12042,2507,197,23552,15,7625,3,2547,2097,10680,14860,0,9063,9035,325,2027,13363,6002
90,22171,7687,18032,14868,17358,5374,7109,16176,14772,980,8483,6430,110,12162,2542,197,23795,15,7711,3,2565,2119,10796,15001,0,9168,9131,328,2054,13534,6045
91,22415,7762,18218,15029,17571,5434,7192,16366,14939,992,8582,6489,110,12283,2565,197,24041,15,7804,3,2592,2152,10919,15179,0,9270,9242,330,2078,13710,6102
92,22724,7862,18471,15241,17808,5512,7300,16595,15143,1009,8695,6592,112,12421,2594,199,24347,15,7918,3,2628,2188,11067,15402,0,9375,9370,336,2116,13880,6186
93,22978,7913,18644,15376,17962,5554,7364,16735,15291,1016,8769,6664,112,12505,2619,200,24577,15,7991,3,2638,2207,11146,15530,0,9443,9449,340,2134,14016,6236
94,23229,7997,18857,15542,18165,5623,7453,16936,15449,1028,8853,6748,113,12629,2654,200,24837,15,8080,3,2662,2234,11248,15724,0,9542,9537,345,2166,14164,6309
95,23434,8059,19008,15648,18332,5658,7498,17068,15543,1033,8919,6797,114,12692,2667,201,25026,14,8118,3,2685,2250,11347,15840,0,9602,9607,345,2171,14289,6354
96,23737,8172,19265,15874,18584,5744,7603,17330,15765,1051,9050,6892,114,12846,2710,205,25341,15,8236,4,2734,2279,11503,16061,0,9735,9765,355,2202,14494,6424
97,23963,8232,19429,16015,18780,5810,7652,17469,15898,1061,9128,6948,114,12926,2734,206,25594,15,8299,4,2763,2292,11609,16190,0,9829,9852,358,2218,14641,6473
98,24269,8323,19680,16200,18998,5886,7745,17700,16093,1073,9248,7030,114,13060,2771,207,25885,16,8393,4,2793,2321,11750,16391,0,9959,9968,358,2243,14821,6550
99,24563,8463,19930,16392,19260,5986,7862,17941,16316,1090,9392,7153,115,13231,2827,211,26199,16,8512,4,2850,2371,11903,16625,0,10115,10112,362,2281,15035,6644
100,24845,8530,20147,16560,19487,6057,7952,18140,16492,1101,9478,7231,120,13346,2852,212,26491,16,8619,4,2877,2397,12037,16810,0,10223,10218,365,2298,15196,6712
101,25104,8598,20350,16720,19682,6123,8017,18331,16669,1113,9561,7308,120,13468,2878,212,26732,17,8713,4,2908,2428,12159,17000,0,10313,10316,369,2312,15356,6783
102,25379,8665,20560,16883,19886,6179,8070,18515,16849,1122,9653,7366,120,13584,2896,214,27018,17,8795,4,2930,2449,12286,17188,0,10407,10425,372,2332,15525,6850
103,25716,8755,20821,17104,20149,6251,8171,18770,17040,1131,9779,7437,120,13725,2926,215,27352,17,8868,4,2964,2474,12439,17410,0,10549,10556,375,2355,15718,6908
104,25990,8865,21038,17299,20376,6322,8251,18967,17270,1139,9882,7513,121,13852,2964,216,27632,17,8964,4,2994,2506,12596,17601,0,10679,10684,377,2382,15898,6985
105,26203,8909,21173,17405,20532,6356,8302,19099,17381,1141,9948,7549,122,13911,2974,216,27810,17,9018,4,3006,2513,12651,17716,0,10719,10739,382,2397,15991,7021
106,26439,8967,21385,17546,20731,6407,8358,19297,17543,1150,10044,7615,122,14012,2999,216,28071,17,9095,4,3029,2537,12784,17859,0,10812,10843,383,2409,16152,7085
107,26723,9066,21631,17743,20972,6492,8482,19505,17785,1163,10180,7732,123,14189,3032,216,28335,18,9207,4,3079,2571,12951,18075,0,10955,10982,388,2446,16310,7190
108,27077,9197,21922,17973,21288,6582,8608,19774,18045,1175,10332,7846,125,14399,3083,221,28682,20,9346,4,3119,2609,13129,18330,0,11130,11165,396,2493,16574,7291
109,27342,9277,22116,18142,21508,6657,8692,19972,18228,1190,10439,7929,126,14517,3098,224,28914,20,9434,4,3133,2630,13257,18481,0,11235,11258,400,2512,16729,7354
110,27500,9312,22229,18245,21625,6692,8712,20096,18356,1192,10496,7956,127,14573,3113,225,29064,20,9484,4,3146,2638,13318,18567,0,11290,11313,403,2535,16829,7397
111,27751,9388,22428,18398,21831,6751,8783,20285,18512,1207,10584,8036,128,14692,3149,227,29304,22,9562,4,3169,2672,13426,18756,0,11387,11395,407,2554,16977,7466
112,27969,9436,22584,18518,22001,6793,8843,20435,18650,1218,10656,8057,128,14757,3173,227,29514,22,9616,4,3180,2677,13503,18878,0,11440,11469,410,2571,17067,7520
113,28316,9539,22860,18749,22270,6875,8942,20687,18881,1221,10778,8161,128,14923,3223,230,29833,24,9729,4,3220,2714,13687,19127,0,11605,11601,414,2608,17290,7626
114,28546,9628,23064,18928,22479,6965,9035,20916,19074,1238,10883,8240,128,15076,3261,233,30072,25,9823,4,3253,2739,13839,19313,0,11744,11732,424,2631,17466,7693
115,28805,9703,23225,19057,22653,7027,9124,21066,19245,1246,10982,8314,129,15186,3289,233,30306,26,9908,5,3270,2759,13936,19443,0,11815,11796,427,2649,17587,7756
116,29096,9799,23462,19253,22897,7099,9207,21278,19427,1257,11093,8373,131,15283,3324,235,30605,27,9990,5,3307,2783,14059,19644,0,11920,11890,434,2668,17799,7827
117,29415,9903,23716,19468,23160,7185,9313,21534,19631,1267,11208,8464,131,15461,3362,236,30883,28,10088,5,3340,2812,14222,19870,0,12044,12035,436,2696,18011,7905
118,29748,10007,23937,19670,23444,7257,9409,21769,19871,1274,11338,8546,131,15598,3384,238,31178,28,10211,5,3363,2843,14369,20068,0,12170,12164,440,2712,18203,7985
119,30016,10072,24140,19830,23638,7310,9505,21954,20022,1285,11410,8606,131,15730,3403,240,31413,27,10274,5,3387,2862,14481,20258,0,12271,12266,439,2737,18379,8046
120,30300,10162,24359,19993,23858,7379,9585,22153,20231,1289,11499,8682,131,15860,3425,241,31653,29,10344,5,3414,2885,14581,20423,0,12396,12371,439,2752,18545,8122
121,30483,10233,24516,20107,24012,7417,9622,22305,20337,1296,11559,8718,131,15951,3449,240,31824,29,10399,5,3435,2907,14658,20525,0,12470,12448,439,2763,18672,8166
122,30858,10374,24810,20344,24301,7516,9742,22593,20596,1311,11726,8823,131,16154,3493,243,32165,28,10525,5,3497,2942,14847,20778,0,12626,12616,444,2808,18905,8254
123,31133,10451,25017,20543,24508,7568,9817,22788,20799,1319,11826,8879,131,16284,3516,244,32413,28,10607,5,3536,2971,14974,20950,0,12732,12736,445,2827,19077,8330
124,31391,10526,25217,20684,24719,7626,9889,22969,20964,1324,11907,8932,133,16409,3547,245,32615,29,10695,5,3558,2989,15085,21121,0,12852,12837,448,2842,19219,8373
125,31596,10563,25348,20795,24871,7675,9944,23112,21103,1326,11961,8968,134,16473,3568,248,32801,29,10746,5,3580,2995,15146,21248,0,12911,12901,445,2856,19337,8422
126,31917,10667,25628,20994,25132,7748,10031,23368,21351,1343,12088,9036,134,16619,3600,249,33080,29,10834,5,3620,3014,15280,21445,0,13029,13032,449,2875,19541,8485
127,32205,10773,25889,21196,25385,7836,10129,23616,21552,1364,12211,9122,134,16798,3637,249,33365,29,10953,5,3661,3054,15446,21660,0,13168,13180,457,2894,19755,8558
128,32499,10838,26040,21356,25612,7895,10209,23763,21721,1380,12275,9181,136,16905,3660,252,33616,29,11045,6,3669,3059,15526,21829,0,13223,13242,462,2909,19903,8619
129,32808,10896,26261,21519,25814,7934,10273,23949,21911,1387,12362,9227,137,17018,3678,253,33890,29,11105,6,3688,3069,15655,21969,0,13324,13326,465,2931,20068,8677
130,33047,10942,26453,21647,25998,7987,10345,24145,22083,1393,12444,9280,137,17084,3699,254,34106,30,11190,6,3709,3082,15768,22122,0,13402,13403,468,2941,20204,8735
