HPV_position,15361-CB-43-LabPrep_S45,15361-CB-4-LabPrep_S42,15361-CB-5-LabPrep_S47
1,82,2,101
2,108,2,143
3,116,2,160
4,124,2,178
5,146,2,211
6,156,2,228
7,164,2,235
8,176,2,246
9,182,2,260
10,185,2,270
11,203,2,306
12,217,2,313
13,226,2,328
14,228,2,341
15,236,2,353
16,246,2,362
17,252,2,375
18,258,2,388
19,260,2,410
20,274,2,423
21,284,2,436
22,292,2,444
23,302,2,453
24,311,4,471
25,319,4,483
26,327,4,493
27,339,4,514
28,347,5,530
29,355,5,542
30,371,5,553
31,379,5,567
32,384,5,578
33,402,5,595
34,415,5,622
35,415,5,638
36,420,5,650
37,424,5,661
38,438,5,677
39,454,5,693
40,467,5,705
41,473,5,714
42,485,5,736
43,490,5,742
44,503,5,761
45,508,5,767
46,515,5,778
47,526,5,796
48,529,5,805
49,545,5,831
50,556,5,842
51,562,5,852
52,569,5,861
53,586,5,880
54,600,6,893
55,622,6,915
56,631,6,933
57,645,6,949
58,652,6,959
59,661,7,976
60,674,7,995
61,688,7,1009
62,693,7,1017
63,701,7,1027
64,721,7,1062
65,736,7,1080
66,743,7,1098
67,754,7,1113
68,760,7,1125
69,764,7,1133
70,769,7,1143
71,775,7,1150
72,790,7,1157
73,799,7,1165
74,808,7,1183
75,820,7,1207
76,829,7,1227
77,840,7,1245
78,854,7,1252
79,859,7,1273
80,866,7,1283
81,880,7,1292
82,889,7,1305
83,905,7,1331
84,913,7,1345
85,920,7,1361
86,956,7,1394
87,964,7,1415
88,985,7,1448
89,990,7,1457
90,1012,7,1467
91,1021,7,1478
92,1033,7,1487
93,1042,7,1500
94,1055,7,1518
95,1061,7,1524
96,1074,7,1534
97,1083,7,1550
98,1106,7,1575
99,1122,8,1590
100,1132,8,1608
101,1146,8,1629
102,1154,8,1634
103,1166,8,1654
104,1180,8,1665
105,1191,8,1679
106,1199,8,1701
107,1207,8,1711
108,1215,8,1728
109,1227,8,1740
110,1230,8,1748
111,1242,8,1758
112,1254,9,1779
113,1267,9,1805
114,1275,9,1823
115,1282,9,1838
116,1292,9,1863
117,1299,9,1880
118,1312,9,1898
119,1313,9,1907
120,1319,9,1924
