HPV_position,15361-CB-15-LabPrep_S16,15361-CB-7-LabPrep_S49,15361-CB-6-LabPrep_S48,15361-CB-18-LabPrep_S19,15361-CB-19-LabPrep_S20
1,188,343,108,339,58
2,371,654,212,634,116
3,454,874,257,852,134
4,492,987,271,983,139
5,551,1145,299,1153,139
6,587,1281,315,1284,148
7,605,1353,326,1362,151
8,636,1456,340,1488,158
9,673,1563,353,1590,165
10,756,1758,382,1787,182
11,820,1923,409,1959,191
12,857,2022,425,2093,196
13,906,2166,444,2250,202
14,1008,2355,474,2436,227
15,1048,2469,489,2553,242
16,1108,2608,516,2707,248
17,1151,2735,531,2856,256
18,1196,2863,552,3012,265
19,1233,2986,566,3130,271
20,1264,3053,575,3211,274
21,1337,3236,610,3414,294
22,1414,3407,636,3577,302
23,1488,3602,674,3776,320
24,1537,3747,697,3938,335
25,1585,3892,717,4101,345
26,1630,4007,729,4230,351
27,1668,4127,746,4365,358
28,1742,4279,777,4538,368
29,1802,4410,790,4700,380
30,1852,4578,819,4863,392
31,1905,4670,824,4942,399
32,1956,4792,844,5089,409
33,2007,4949,863,5239,419
34,2085,5135,904,5485,439
35,2146,5307,925,5680,451
36,2202,5457,959,5860,457
37,2243,5598,984,6003,464
38,2302,5747,1006,6167,469
39,2325,5818,1010,6246,472
40,2389,5980,1038,6431,480
41,2446,6146,1063,6598,489
42,2506,6280,1085,6758,496
43,2581,6437,1107,6926,507
44,2631,6539,1129,7068,512
45,2680,6682,1146,7238,526
46,2731,6822,1163,7397,531
47,2777,6941,1186,7534,536
48,2834,7114,1224,7707,546
49,2895,7245,1242,7853,555
50,2974,7415,1254,8039,567
51,3036,7587,1278,8188,578
52,3085,7727,1302,8348,589
53,3161,7903,1328,8535,603
54,3184,7978,1339,8633,604
55,3252,8177,1363,8843,616
56,3315,8339,1380,9005,626
57,3357,8452,1393,9136,632
58,3430,8635,1413,9360,652
59,3485,8754,1426,9496,660
60,3551,8910,1442,9665,674
